*Usernames,Job names,Prediction method,Protein length,Time,Status,Error message
ankurtchuzy,aa,PSIPRED,129,Thu Apr 18 19:00:47 2019,successful,none
ankurtchuzy,aa,PSIPRED,129,Thu Apr 18 21:33:27 2019,successful,none
ankurtch,aa,,,Thu Apr 18 21:33:56 2019,failed,invalid username
ankurtchuzy,aa,PSIPRED,124,Thu Apr 18 21:34:29 2019,failed,pred assign prot seq match fail
ankurtchuzy,aa,,,Thu Apr 18 21:35:13 2019,failed,method detection failed
ankurtchuzy,aa,,,Thu Apr 18 21:36:13 2019,failed,method detection failed
ankurtchuzy,aa,,,Thu Apr 18 21:37:09 2019,failed,method detection failed
ankurtchuzy,aa,PSIPRED,129,Thu Apr 18 21:45:31 2019,successful,none
ankurtchuzy,sdd,PSIPRED,129,Thu Apr 18 22:07:42 2019,successful,none
ankurtchuzy,morning,CFSSP,848,Fri Apr 19 09:40:26 2019,successful,none
ankurtchuzy,morning,CFSSP,466,Fri Apr 19 16:56:40 2019,failed,sequence match fail
ankurtchuzy,morning,CFSSP,466,Fri Apr 19 17:09:53 2019,failed,sequence match fail
ankurtchuzy,morning,CFSSP,466,Fri Apr 19 17:10:56 2019,failed,sequence match fail
ankurtchuzy,morning,NSPA,129,Fri Apr 19 17:13:58 2019,successful,none
aheli,something,NSPA,129,Fri Apr 19 18:35:34 2019,successful,none
ahel,something,,,Fri Apr 19 18:36:47 2019,failed,invalid username
aheli,something,NSPA,,Fri Apr 19 18:37:10 2019,failed,length mismatch
aheli,something,NSPA,129,Fri Apr 19 18:37:35 2019,failed,sequence match fail
ankurtchuzy,morning,PSIPRED,848,Mon Apr 22 11:03:36 2019,successful,none
ankurtchuzy,morning,PSIPRED,848,Mon Apr 22 11:08:47 2019,successful,none
ankurtchuzy,morning,PSIPRED,848,Mon Apr 22 11:10:33 2019,successful,none
ankurtchuzy,morning,PSIPRED,848,Mon Apr 22 11:11:12 2019,successful,none
ankurtchuzy,morning,PSIPRED,848,Mon Apr 22 11:55:54 2019,successful,none
ankurtchuzy,asd,PSIPRED,848,Mon Apr 22 13:19:36 2019,successful,none
xv,xv,,,Mon Apr 22 13:27:06 2019,failed,invalid username
xv,xv,,,Mon Apr 22 13:31:00 2019,failed,invalid username
ankurtchuzy,new,CFSSP,129,Mon Apr 22 19:02:06 2019,successful,none
ankurtchuzy,new,CFSSP,129,Mon Apr 22 19:04:34 2019,successful,none
ankurtchuzy,aa,PSIPRED,848,Mon Apr 22 19:18:59 2019,successful,none
ankurtchuz,aa,,,Mon Apr 22 19:23:18 2019,failed,invalid username
ankurtchuzy,aa,PSIPRED,847,Mon Apr 22 19:26:45 2019,failed,sequence match fail
ankurtchuzy,aa,PSIPRED,848,Mon Apr 22 19:27:13 2019,failed,sequence match fail
ankurtchuzy,aa,PSIPRED,848,Mon Apr 22 19:27:38 2019,successful,none
ankurtchuzy,abhi,CFSSP,129,Mon Apr 22 21:28:05 2019,successful,none
svf,tshrt,,,Mon Apr 22 21:53:44 2019,failed,invalid username
Ankurpchuvy,trail ,,,Mon Apr 22 22:15:27 2019,failed,invalid username
ishita895,trail ,CFSSP,129,Mon Apr 22 22:16:09 2019,successful,none
fhgfdhgth,gfhgf,,,Tue Apr 23 09:39:52 2019,failed,invalid username
admin,gfhgf,,,Tue Apr 23 09:40:11 2019,failed,invalid username
test,gfhgf,,,Tue Apr 23 09:40:23 2019,failed,invalid username
ankur,gfhgf,,,Tue Apr 23 09:40:36 2019,failed,invalid username
